Site,Dist,Site name,Start,End,Lat,Lon,Source,STA,Height (m),Bar_ht,WMO
068124,68,UPPER KANGAROO RIVER,1962,1992,-34.675,150.5917,.....,NS,170,..,..
068125,68,OAKDALE (COOYONG PARK),1963,..,-34.0904,150.5052,MAP 1,NS,440,..,..
068126,68,NIDGEE STUD,1962,1972,-34.45,150.8167,.....,NS,131.1,..,..
068127,68,DOUGLAS PARK POST OFFICE,1962,1977,-34.1833,150.7167,.....,NS,122,..,..
068128,68,ALPINE,1962,1970,-34.4,150.5167,.....,NS,..,..,..
068129,68,ALBION PARK (PARKVALE),1962,1967,-34.6,150.75,.....,NS,..,..,..
068130,68,YALLAH (IANWYN),1962,1981,-34.5333,150.7167,.....,NS,85,..,..
068131,68,PORT KEMBLA (BSL CENTRAL LAB),1963,..,-34.4674,150.8813,GPS,NS,9,..,..
068132,68,STANWELL PARK (HILLCREST),1963,1974,-34.2333,150.9833,.....,NS,76.2,..,..
068133,68,TAHMOOR POST OFFICE,1962,1974,-34.2167,150.6,.....,NS,269.7,..,..
068134,68,APPIN (STANHOPE),1888,1913,-34.2,150.7833,.....,NS,..,..,..
068135,68,BALMORAL,1889,1920,-34.3,150.55,.....,NS,..,..,..
068136,68,BOMADERRY,1903,1938,-34.85,150.6167,.....,NS,7.9,..,..
068137,68,BROGERS CREEK UPPER (COOKVILLE),1890,1930,-34.7,150.6833,.....,NS,..,..,..
068138,68,BROUGHTON VILLAGE,1909,1926,-34.3,150.7,.....,NS,..,..,..
068139,68,BROWNS MOUNTAIN,1903,1915,-34.8,150.5167,.....,NS,..,..,..
068140,68,CAPE ST GEORGE,1867,1899,-35.1667,150.7667,.....,NS,..,..,..
068141,68,CAWDOR,1896,1925,-34.0833,150.6667,.....,NS,..,..,..
068142,68,CORDEAUX RIVER,1871,1924,-34.3167,150.7333,.....,NS,..,..,..
068143,68,EXETER 1,1905,1916,-34.6,150.3,.....,NS,..,..,..
068144,68,GLENDON 2,1919,1948,-34.1,150.6,.....,NS,..,..,..
068145,68,ILKEY MOOR,1942,1948,-34.6,150.2,.....,NS,..,..,..
068146,68,KEMBLA HEIGHTS MWSDB,1956,1973,-34.4167,150.8167,.....,NS,320,..,..
068147,68,KEMBLA HEIGHTS 1,1895,1919,-34.4333,150.8,.....,NS,..,..,..
068148,68,CATARACT RESERVOIR (LETTERBOX),1907,1948,-34.2667,150.8833,.....,NS,426,..,..
068149,68,MOUNT KEMBLA,1895,1918,-34.4167,150.8167,.....,NS,..,..,..
068150,68,NARELLAN,1895,1933,-34.0333,150.7833,.....,NS,..,..,..
068151,68,JERVIS BAY (POINT PERPENDICULAR A,2001,..,-35.0936,150.8049,GPS,NS,85,84.1,95940
068152,68,PICTON COLLEGE (WARATAH),1903,1916,-34.2833,150.55,.....,NS,..,..,..
068153,68,WOLLONGONG (ROSEMOUNT),1913,1934,-34.4,150.9,.....,NS,..,..,..
068154,68,STOCKYARD MOUNTAIN,1898,1919,-34.6167,150.8,.....,NS,..,..,..
068155,68,THE HILL,1895,1919,-34.5833,150.8,.....,NS,..,..,..
068156,68,ULSTER PARK,1889,1911,-34.6333,150.5333,.....,NS,..,..,..
068157,68,YARROW (BOURAL),1912,1930,-34.5,150.4,.....,NS,..,..,..
068158,68,PICTON RUMPKER STREET,1964,1987,-34.1833,150.6,.....,NS,228,..,..
